time,Construction,Mining,Manufacturing,WholesaleTrade,RetailTrade,Transportation,Information,Finance,RealEstate,ProfessionalServices,ManagementCompanies,AdministrativeServices,HealthCare,Arts,Accommodation
2017-Q1,38.93,45.07,40.7,38.9,30.87,42.73,36.37,34.3,34.3,37.07,39.03,33.97,33.8,24.43,30.67
2017-Q2,39.13,45.73,40.77,39.03,31.03,42.57,36.23,34.6,34.63,37.1,38.9,34.03,33.7,24.4,30.77
2017-Q3,39,45.77,40.87,39.1,30.9,42.6,36.17,34.8,34.8,37.07,38.8,33.97,33.77,24.2,30.67
2017-Q4,39.27,46,40.93,39.13,31.17,43.47,36.1,34.93,35,37.07,38.63,34.07,33.83,24.33,30.8
2018-Q1,39.1,46.23,40.87,39,31.17,43,36,35.1,34.93,37.1,38.6,34.03,33.87,24.27,30.87
2018-Q2,39.37,46.63,40.97,39.1,31.07,43.07,35.87,35.2,35.23,37.1,38.47,34.13,34,24.17,30.73
2018-Q3,39.17,46.37,40.97,39.07,30.93,42.67,36.1,35.07,35.33,37.13,38.43,34.07,33.97,24.03,30.5
2018-Q4,39.03,46.43,40.83,38.93,30.77,43.1,36.27,35.2,35.3,37.17,38.3,34.17,33.9,24.03,30.3
2019-Q1,39.27,46.77,40.73,39,30.7,42.47,36.23,35.17,35,37.23,38.37,34.27,33.93,24.03,30.53
2019-Q2,39.2,46.77,40.63,38.93,30.67,42.23,36.27,35.1,35.13,37.2,38.33,34.23,33.97,23.6,30.7
2019-Q3,39.4,46.6,40.47,38.87,30.67,42,36.43,35.23,35.23,37.07,38.23,34.27,33.9,23.57,30.67
2019-Q4,39.07,46.2,40.4,38.87,30.5,42.6,36.33,35.33,35.43,37.03,38.23,34.1,33.93,23.4,30.3
2020-Q1,39.17,45.77,40.47,38.73,30.57,42.03,36.23,35.33,35.67,36.97,38.03,34.3,33.97,23.3,29.83
2020-Q2,38.53,43.77,38.6,38,30.93,37.17,36.53,35.23,35.03,36.93,37.93,34.5,33.7,26.93,26.83
2020-Q3,38.97,44.53,39.97,38.47,30.8,41.27,36.53,35.63,35.67,37.1,38.07,35.03,34.27,25.37,28.47
2020-Q4,39,45.17,40.3,38.7,30.77,42.43,36.97,35.57,35.63,37.2,38.27,35.33,34.33,25.37,28.53
2021-Q1,39.03,45.8,40.47,38.97,30.63,41.77,37.23,35.6,35.43,37.33,38.4,35.4,34.33,25.47,29.13
2021-Q2,38.9,45.77,40.37,39.2,30.9,41.17,37.13,35.47,35.47,37.3,38.53,35.23,34.23,25,30.37
2021-Q3,39.03,45.5,40.43,39.23,30.73,41.23,36.9,35.23,35.27,37.4,38.4,35.13,34.2,24.67,30.6
2021-Q4,39,45.47,40.33,39.27,31.07,42.33,36.87,35.13,34.97,37.33,38.47,35.17,34.2,24.83,30.87
