,id,created_time,text
0,1233177145519812609,2020-02-27 23:48:37+00:00,Robots aren’t taking our jobs — they’re becoming our bosses https://t.co/itu6n9W2x2
1,1233171443141222400,2020-02-27 23:25:57+00:00,"@WalshFreedom Why do you hate this country?  Trump has done more for this country than the past 4 presidents combined. We have lower unemployment, which I know is bad for the Democrats.they need more people dependent on govt."
2,1233160119522910208,2020-02-27 22:40:58+00:00,@StayWonked @realDonaldTrump And brought unemployment to lowest records ever among blacks. And brought 12k factories into America. And got us out of horrible NAFTA and into fairer USMCA. And wages have rises. 72% of new jobs have went to women. He’s done so much good dems refuse to see. Sad.
3,1233159247254306816,2020-02-27 22:37:30+00:00,"“We should look at individuals—not national averages—as the unit of analysis, and ask: Are wages adequate? Can people support themselves and their families if they work full time?”

#UnionsForAll 

https://t.co/7l7TGxU68K"
4,1233157015138164737,2020-02-27 22:28:38+00:00,@rhonda_harbison @KathiInCali @highnlonesome @Yb1962YvonneYc @Bradybits @mikememoli This is about tax cuts for wealthy and corporate tax cuts. This is one opinion. A look at the record low unemployment numbers and consumer confidence shows they did work.
5,1233145067147341860,2020-02-27 21:41:09+00:00,"@KathiInCali @Yb1962YvonneYc @highnlonesome @Bradybits @rhonda_harbison @mikememoli Did you read the tax tables? Show me someone who didn’t get a cut. What income level? 

Corporate rate cuts didn’t hurt you! It brought back jobs and is why we have record low unemployment!"
6,1233142306376757269,2020-02-27 21:30:11+00:00,"@DanKxStar @yruwhining @JudyCaughran @MSNBC @MaddowBlog Under Obama unemployment went from about 10% to 4%. Under Trump it went from 4% to 3.6%. You so the math! Ooh btw, if the stable genius had any credibility at all,  he would have stabilized the market with his press conference instead of causing it to crash!"
7,1233137749420584960,2020-02-27 21:12:04+00:00,@aravosis I mean crappy fiscal policy to raise fed debt obligations and pushing up inflation bc of extremely low unemployment aren't helping when a real crisis appears.
8,1233135911002681366,2020-02-27 21:04:46+00:00,@pgeezy68 @VoteOjeda2020 Unemployment isn't socialism. It's a type of insurance paid for by employers and collected only if an employee qualifies to do so.
9,1233135025140318209,2020-02-27 21:01:15+00:00,"While @BettyYeeforCA says that unemployment will hit 5% in California, it’s on par for what’s happening with the rest of the country."
10,1233116671398891520,2020-02-27 19:48:19+00:00,"@jwhitejr @PapiAWill @TMZ What’s is your problem Trump has passed prison reform,opened up opportunity zones in major cities for minorities,and his economy has given minorities their lowest unemployment rate in history. So other than being half black what did Obama do in 8 years?"
11,1233111052872802304,2020-02-27 19:25:59+00:00,"@AmyMek Why cares. ?. A high crime city, high unemployment. From those who are graduating high school, only 19 students scored 1500 or higher, with a mean score of 1100. 2nd largest Muslim community in the U.S.,"
12,1233110730129330179,2020-02-27 19:24:42+00:00,@DansAce welcome to the company oopsie welcome to unemployment
13,1233107592987074561,2020-02-27 19:12:14+00:00,"The truth of this can't be expressed enough. If towns/areas are ordered to close,  these people will potentially become homeless. Us gov should provide unemployment for people in these situations. https://t.co/rPyfijkpyq"
14,1233083611685040128,2020-02-27 17:36:57+00:00,You never see cats work at all! This is dedicated to my old roommates’ cat who is in his third year of unemployment https://t.co/VhY2DiLg41
15,1233083538460807170,2020-02-27 17:36:39+00:00,"@MikeHsuAAF 

If you are applying for unemployment make sure you put the reason for your departure was due to an ""Act Of God"" seems legit to me kid"
16,1233076109304061959,2020-02-27 17:07:08+00:00,Unemployment looking real good rn https://t.co/7kW678Hha4
17,1233076095278288901,2020-02-27 17:07:05+00:00,@Writer_KSHunter I hear unemployment calling and he might get fired too
18,1233063748186836993,2020-02-27 16:18:01+00:00,"@IctChiefs @LexPadillaNews @KSNNews While true, you didn't specify poor people, you did say they should blame their neighbors.

The neighbors in the area live in a less affluent part of our city.

So, by blaming neighbors whose household income is low, home value is low, and unemployment level higher than avg...."
19,1233063463750115329,2020-02-27 16:16:53+00:00,"@v_sinayad Yep that’s what happened you spoke out or stood up for something they weren’t fuckin wit, so they fired you. Like I said file for unemployment until you get another job."
20,1233062694376353794,2020-02-27 16:13:50+00:00,@v_sinayad Draw unemployment
21,1233053283410800641,2020-02-27 15:36:26+00:00,"https://t.co/GeFrFibUKQ.....
EDD Unemployment System....
They don't pick up the phone....
1800 300 5616...."
22,1233048551430721538,2020-02-27 15:17:38+00:00,"@PaDenys @Spaniard8888888 @politico @TheDemocrats •Black Brown &amp; Yellow unemployment rate at lowest levels
•Women unemployment rate lowest in 70Y
•Black poverty declined to lowest rate
•2019, women filed 72% of all New Jobs
•Record no. of young Americans employed
•Wages are rising"
23,1233048369985183747,2020-02-27 15:16:54+00:00,"@PaDenys @Spaniard8888888 @politico @TheDemocrats •Econ best it has ever been
•Military is completely rebuilt
•Slashing record no. of job killing regs
•Historic and record-setting tax cuts
•Fair and reciprocal trade agreements
•Created 7M jobs within first 3Y
•Unemployment rate lowest in ½ century"
24,1233042718412222464,2020-02-27 14:54:27+00:00,"@JohnCornyn You say that like you think you have an automatic lock on Texas.

Texans are tired of the last 4 years being all for the rich instead them, stealing from the military for a pointless wall, no fixes for unaffordable healthcare, and bad unemployment policy tanking the economy."
