,id,text
0,1144757334662635521,@JanetSm90210 It's all good!  I've already applied for unemployment and several jobs.  I also have a few leads.
1,1144751076555538437,"Let me tell you a BIG SECRET...

DETROIT is NOT a WOROD CLASS CITY!!!
It is DANGEROUS, HIGH UNEMPLOYMENT RATE, and last but not least...

NO POLICE PATROLS!!!
Thousands of residents have been Assaulted &amp; Killed waiting for Police Response!
City Hall is LYING about CITIZEN SAFETY!"
2,1144748450690392064,I voted for Jimmy Carter the first time.  He destroyed our economy.  Double digit unemployment and double digit inflation.  Housing market skyrocketed to what is now insane.  I thank God for Ronald Reagan.  And President Trump.
3,1144741058380795905,"cc @mikequindazzi @antgrasso @fisher85m
Chart of the day: #Unemployment is down across the world’s largest economies https://t.co/9BC5Pgjd8v
rt @wef https://t.co/OaWFIxYVbB"
4,1144730734575443972,@AlexisAa_ file unemployment.
5,1144730143421865984,Just because I won’t mention unemployment for blacks doesn’t mean he didn’t do it. He hadn’t done anything for me except the tax cuts. https://t.co/0XLLi3u1Ia
6,1144728649737936903,@realDonaldTrump @mPinoe Who wants to go to the WH to pay homage to a criminal? And black unemployment at what kind of pay?
7,1144728190058926081,@OmarKelly I guess you missed the news on all the people he's released from prison among other things he's doing for Blacks including the lowest unemployment levels. Stick to sports @OmarKelly You're making a fool of yourself again https://t.co/ohKTVe2oF1
8,1144725554974736385,.@uscmwdc #mayors2019 @WorkSourceSnoCo engaging employers directly in workforce #IncumbentWorkerTrng #ambitious #pilots @WFSDallas @wfsctx @WfSTarrant @mcgough_andrew @memattke @bcwdallas This is where our system needs to concentrate - upskilling during record low unemployment! https://t.co/AVopyG2Hqg
9,1144720590407966720,Gimme my unemployment check. THANK YOU!
10,1144713617369174016,"@WuMervin @stlouisfed If low unemployment persists for another decade, who will benefit? Will those living below the median be worse off in that scenario? Will their balance sheets look worse?"
11,1144706692631760896,"@AOC And yet in spite of the idiot liberals like yourself, our economy is thriving, record low unemployment, higher wages, more available jobs then people to fill them, etc. Yea, the President has no plan or ideas, just that magic wand Obama talked about"
12,1144700195235672065,"@MSNBC You should never have to defend 
yourself. Let your work speak for itself.  Like Unemployment way under 4% GDP at a all time high.
Stocks up 401k up And mostly dems fighting for the top spot.
LIFE IS GOOD"
13,1144690253338501122,"@rosemai53910234 @BradleyByrne @DougJones We are better off than 2-4 years ago. Alabama/Unemployment rate
3.7% (Mar 2019)
10.3% (Dec 2010)"
14,1144689739682983936,"@CrystalGangsta @ACTBrigitte @realDonaldTrump Hey brilliant, unemployment numbers are based off people actively seeking employment...not whether you have 2 or more jobs.  Either understand the statistic, or stay out of the adult conversation."
15,1144687006808756226,"@BashAlaniz @AndrewYang It will be the middle class bc as everyone with an ounce of common sense (or history) knows the corporations and ultra-wealthy will move their excess $$ to tax shelters or over seas banks or invest it anywhere but USA. Taking us right back to higher unemployment, &amp; burden on us."
16,1144686313322369024,Desert Diamond Casino has the audacity to ask why I had a 10 year unemployment gap... https://t.co/6tMekmHfZK
17,1144683121842896896,"Accused of being takers of jobs is a contradiction to being a weight on society, ergo low unemployment. https://t.co/QcrFzX8UPz"
18,1144676807523872768,"@libraxmom We're both desperately hoping that the universe did this for a reason tbh. People have reported this hotel before, but all concerns have been ignored. We're definitely going to file for unemployment though! This was total garbage "
19,1144674679384420352,"@JudithM80464960 @Sarah_Boxer @CNN Best economy in decades,  manufacturing jobs coming back,  lowest unemployment in decade for every race, tax cuts, the number one exporter of oil in the world.  Stock market booming, protecting the unborn child.  Does that sound like destroying?"
20,1144666211835424768,"@Amadouallahoury @UN @UNHCRMali @Unfpamali @oim_mali @MaliWfp @OCHA_Mali @unicefmali @BenderaCyprienD @laminesamake @iskeite90 @AlyBKoita @kossibo1 @FaoSenegal @FAONiger @FAO_DG Despite pool of info &amp; metrics all pointing to key  action items:

1-Outreach &amp; comm.
2-Bleak prospects of upscaling innovations
3-Donor coord. still missing, in midst of Youth unemployment &amp; despair, seeing better days in migration &amp; guerillas in absence of ticket to the seas. https://t.co/pebgAziHG3"
21,1144656127516446725,"I'm betting the unethical Mitch McConnell will not allow the bill into the Senate. McConnell has got to be sent packing into the unemployment line. Kentuckians, are you paying attention? https://t.co/kLlpoKQBeQ"
22,1144651605842833408,welp so my homophobic managers/coworkers all got punched out in the span of a month. we got a new (gay) manager a week ago and i JUST picked up a call to discuss my new position and pay raise while they rot in the unemployment line  taylor swift stans always win.
23,1144648973791064064,Question about SNAP (food stamps): @SecretarySonny talks “self-sufficiency not government-sufficiency” especially in era of low unemployment.
24,1144647170538311680,@DiRK_OtEAd Unemployment fire
25,1144646238782009344,@realDonaldTrump @mPinoe Not sure of the relevance btwn black unemployment &amp; CONGRESS passing CJR and a player on the U.S. women's soccer team. You do know she's white right? She just despises YOU like most of America.
26,1144639473101131776,Just found out my boss is an Orlando Magic’s fan. Accidentally roasted him. Might be on unemployment soon.
27,1144628904067395584,"For the first time since the #GreatRecession, power is titling in favor of workers   
https://t.co/HWivxGd5Ez via @planetmoney #Work #Data #Unemployment #Jobs #NPR #USA #NowListening #Podcast #Spotify #JobsBoom #Demographics"
28,1144622837308768256,@realDonaldTrump Unemployment is rising in the states that TRUMP won in the last elections. #tiredofwinning .
29,1144613024113803265,@rani_yachts @ToonArmyMIA @Sparky7712 @USMCLiberal @realDonaldTrump Fortunately I think you are wrong.  10 to 2 yr treasury note hasn't inverted.  Unemployment lowest in 50 years.  Recession not imminent
30,1144608562167078913,"Jobs growing✔️
Wages growing✔️
Revenue growing✔️
Taxes lower✔️
Unemployment lower✔️

#moleg continues to remove impediments to growth and fosters an environment to allow these things to occur in our free market. Thanks @GovParsonMO! @MissouriGOP #winning

https://t.co/FLMmbm503m"
