Industry,Year,Q1(%),Q2(%),Q3(%),Q4(%),,,,
"Mining, quarrying, and oil and gas extraction",2019,4.2,3.5,1.7,3.3,,,,
"Mining, quarrying, and oil and gas extraction",2020,4.1,12.1,14.3,15.4,,,,
"Mining, quarrying, and oil and gas extraction",2021,16.2,11.4,8.8,8.1,,,,
Construction,2019,5.9,4,3.5,4.5,,,,
Construction,2020,5.9,13.1,7.9,7.9,,,,
Construction,2021,9.2,7.3,5.1,4.6,,,,
Manufacturing,2019,3,2.7,3.2,2.8,,,,
Manufacturing,2020,3.7,11.3,7.2,4.7,,,,
Manufacturing,2021,4.9,5.3,3.9,3.1,,,,
Wholesale and retail trade,2019,4.8,4.1,3.8,3.5,,,,
Wholesale and retail trade,2020,4.5,14.5,8.6,6,,,,
Wholesale and retail trade,2021,6.8,6.3,5.9,4.5,,,,
Transportation and utilities,2019,3.8,3.7,3.7,2.7,,,,
Transportation and utilities,2020,3,13.6,11.6,8.1,,,,
Transportation and utilities,2021,8.3,6.7,6,4.5,,,,
Information,2019,4.3,3.1,4.3,2.3,,,,
Information,2020,2.2,11.3,9.8,6.8,,,,
Information,2021,6.7,5.9,4.7,4.2,,,,
Financial activities,2019,2.6,1.9,1.9,2.1,,,,
Financial activities,2020,2.4,5.4,4.4,3.5,,,,
Financial activities,2021,3.5,3,2.9,2.1,,,,
Professional and business services,2019,4.4,3.5,3.3,3.4,,,,
Professional and business services,2020,4.3,9.1,7.2,6,,,,
Professional and business services,2021,6.8,5.5,4.7,4,,,,
Education and health services,2019,2.5,2.5,2.7,2.3,,,,
Education and health services,2020,2.4,9.9,6.5,4,,,,
Education and health services,2021,3.9,3.7,4,2.4,,,,
Leisure and hospitality,2019,6,4.8,5,5.1,,,,
Leisure and hospitality,2020,6.6,34.7,21.8,16,,,,
Leisure and hospitality,2021,14.1,10.6,8.6,7.2,,,,
